instances,vbih,bs,ig
testes/in10_070.dat,6606,6593,6601
testes/in10_071.dat,6744,6726,6726
testes/in10_072.dat,5811,5780,5746
testes/in10_073.dat,5614,5537,5509
testes/in10_074.dat,6359,6303,6334
testes/in10_075.dat,5876,5851,5858
testes/in10_076.dat,6283,6259,6299
testes/in10_077.dat,5567,5573,5487
testes/in10_078.dat,6085,5969,6005
testes/in10_079.dat,6289,6185,6205
testes/in10_080.dat,6453,6419,6443
testes/in10_081.dat,5179,5164,5210
testes/in10_082.dat,5741,5769,5742
testes/in10_083.dat,5320,5298,5335
testes/in10_084.dat,5479,5476,5518
testes/in10_085.dat,4781,4751,4773
testes/in10_086.dat,5114,5105,5133
testes/in10_087.dat,5818,5858,5901
testes/in10_088.dat,5628,5644,5659
testes/in10_089.dat,4872,4886,4900
testes/in10_090.dat,6328,6346,6358
testes/in10_091.dat,5350,5350,5396
testes/in10_092.dat,5350,5300,5333
testes/in10_093.dat,5525,5553,5582
testes/in10_094.dat,4886,4885,4940
testes/in10_095.dat,6139,6147,6190
testes/in10_096.dat,5395,5425,5427
testes/in10_097.dat,5749,5690,5729
testes/in10_098.dat,5845,5853,5888
testes/in10_099.dat,4687,4695,4760
testes/in10_100.dat,5623,5621,5684
testes/in10_101.dat,5834,5855,5868
testes/in10_102.dat,5171,5124,5161
testes/in10_103.dat,5334,5333,5353
testes/in10_104.dat,6211,6213,6282
testes/in10_105.dat,5599,5614,5632
testes/in10_106.dat,5190,5190,5244
testes/in10_107.dat,5530,5535,5560
testes/in10_108.dat,5552,5564,5587
testes/in10_109.dat,5888,5904,5940
testes/in10_110.dat,5549,5561,5607
testes/in10_111.dat,5213,5185,5240
testes/in10_112.dat,5730,5734,5764
testes/in10_113.dat,5613,5640,5673
testes/in10_114.dat,6002,6031,6035
testes/in10_115.dat,5224,5238,5286
testes/in10_116.dat,5358,5374,5431
testes/in10_117.dat,6277,6285,6305
testes/in10_118.dat,5964,5977,6022
testes/in10_119.dat,5716,5749,5741
testes/in10_120.dat,5996,6014,6076
testes/in10_121.dat,8630,8423,8610
testes/in10_122.dat,8744,8663,8703
testes/in10_123.dat,9452,9326,9370
testes/in10_124.dat,8868,8665,8759
testes/in10_125.dat,9682,9632,9684
testes/in10_126.dat,8663,8591,8701
testes/in10_127.dat,8806,8664,8746
testes/in10_128.dat,9202,9105,9224
testes/in10_129.dat,8930,8822,8902
testes/in10_130.dat,8790,8600,8586
testes/in10_131.dat,8177,8103,8130
testes/in10_132.dat,9844,9871,9839
testes/in10_133.dat,9207,9147,9155
testes/in10_134.dat,8871,8738,8846
testes/in10_135.dat,8900,8749,8750
testes/in10_136.dat,9211,9182,9264
testes/in10_137.dat,9655,9628,9699
testes/in10_138.dat,9386,9251,9309
testes/in10_139.dat,9106,9041,9121
testes/in10_140.dat,8649,8577,8604
testes/in10_141.dat,8580,8565,8696
testes/in10_142.dat,7821,7768,7916
testes/in10_143.dat,7940,7942,7998
testes/in10_144.dat,8053,8061,8119
testes/in10_145.dat,8572,8578,8607
testes/in10_146.dat,8741,8654,8813
testes/in10_147.dat,8362,8260,8394
testes/in10_148.dat,8137,8122,8172
testes/in10_149.dat,8674,8670,8753
testes/in10_150.dat,7761,7750,7880
testes/in10_151.dat,8687,8627,8765
testes/in10_152.dat,7477,7442,7582
testes/in10_153.dat,8792,8809,8852
testes/in10_154.dat,7678,7706,7782
testes/in10_155.dat,8446,8456,8603
testes/in10_156.dat,8022,7995,8095
testes/in10_157.dat,8304,8258,8397
testes/in10_158.dat,8096,8128,8199
testes/in10_159.dat,8529,8549,8622
testes/in10_160.dat,7876,7847,7938
testes/in10_161.dat,7453,7439,7554
testes/in10_162.dat,7448,7503,7589
testes/in10_163.dat,8330,8361,8425
testes/in10_164.dat,8193,8206,8263
testes/in10_165.dat,7792,7832,7892
testes/in10_166.dat,7837,7839,7972
testes/in10_167.dat,8277,8319,8335
testes/in10_168.dat,8669,8672,8750
testes/in10_169.dat,7554,7592,7644
testes/in10_170.dat,8791,8817,8934
testes/in10_171.dat,8361,8375,8499
testes/in10_172.dat,8487,8533,8525
testes/in10_173.dat,8081,8137,8153
testes/in10_174.dat,7484,7503,7602
testes/in10_175.dat,7880,7894,7980
testes/in10_176.dat,8372,8338,8486
testes/in10_177.dat,8798,8818,8909
testes/in10_178.dat,8716,8744,8816
testes/in10_179.dat,8377,8412,8518
testes/in10_180.dat,7662,7680,7747
testes/in14_001.dat,3764,3764,3764
testes/in14_002.dat,3542,3576,3542
testes/in14_003.dat,4350,4350,4350
testes/in14_004.dat,4034,3973,3972
testes/in14_005.dat,4155,4163,4139
testes/in14_006.dat,3655,3655,3655
testes/in14_007.dat,3872,3872,3872
testes/in14_008.dat,3931,3927,3927
testes/in14_009.dat,3718,3739,3718
testes/in14_010.dat,4176,4227,4155
testes/in14_011.dat,3665,3665,3665
testes/in14_012.dat,3201,3170,3170
testes/in14_013.dat,3977,3977,3977
testes/in14_014.dat,3940,3971,3931
testes/in14_015.dat,3809,3827,3759
testes/in14_016.dat,3681,3687,3681
testes/in14_017.dat,3696,3696,3696
testes/in14_018.dat,3571,3571,3559
testes/in14_019.dat,4162,4162,4162
testes/in14_020.dat,4526,4414,4414
testes/in14_021.dat,3099,3099,3099
testes/in14_022.dat,3107,3106,3107
testes/in14_023.dat,3014,3014,3014
testes/in14_024.dat,3591,3586,3586
testes/in14_025.dat,3148,3139,3139
testes/in14_026.dat,3250,3257,3250
testes/in14_027.dat,3224,3224,3224
testes/in14_028.dat,2835,2835,2835
testes/in14_029.dat,3421,3374,3375
testes/in14_030.dat,3758,3758,3758
testes/in14_031.dat,3093,3094,3093
testes/in14_032.dat,2819,2809,2809
testes/in14_033.dat,2837,2830,2830
testes/in14_034.dat,2867,2846,2848
testes/in14_035.dat,2985,2985,2985
testes/in14_036.dat,3514,3503,3503
testes/in14_037.dat,3236,3225,3225
testes/in14_038.dat,3370,3370,3370
testes/in14_039.dat,3153,3163,3163
testes/in14_040.dat,3220,3220,3220
testes/in14_041.dat,3334,3334,3334
testes/in14_042.dat,3464,3461,3461
testes/in14_043.dat,2899,2888,2888
testes/in14_044.dat,3035,3035,3056
testes/in14_045.dat,3730,3730,3730
testes/in14_046.dat,3001,3004,3013
testes/in14_047.dat,3036,3037,3036
testes/in14_048.dat,2634,2634,2648
testes/in14_049.dat,2689,2680,2680
testes/in14_050.dat,3093,3093,3093
testes/in14_051.dat,2541,2539,2542
testes/in14_052.dat,2772,2772,2772
testes/in14_053.dat,3272,3272,3272
testes/in14_054.dat,2567,2567,2567
testes/in14_055.dat,3247,3249,3249
testes/in14_056.dat,2923,2882,2882
testes/in14_057.dat,3205,3205,3205
testes/in14_058.dat,3371,3385,3371
testes/in14_059.dat,2986,2986,2986
testes/in14_060.dat,2994,2994,2994
testes/in14_061.dat,7835,7791,7772
testes/in14_062.dat,7282,7383,7282
testes/in14_063.dat,7340,7484,7271
testes/in14_064.dat,7497,7565,7475
testes/in14_065.dat,7297,7374,7290
testes/in14_066.dat,7351,7466,7331
testes/in14_067.dat,7668,7743,7668
testes/in14_068.dat,7933,7951,7821
testes/in14_069.dat,7708,7684,7616
testes/in14_070.dat,7318,7494,7318
testes/in14_071.dat,7484,7539,7445
testes/in14_072.dat,7664,7775,7665
testes/in14_073.dat,7403,7565,7361
testes/in14_074.dat,7107,7131,7096
testes/in14_075.dat,7603,7603,7603
testes/in14_076.dat,7574,8026,7574
testes/in14_077.dat,7828,7832,7811
testes/in14_078.dat,7654,7813,7628
testes/in14_079.dat,7490,7547,7489
testes/in14_080.dat,7657,7742,7628
testes/in14_081.dat,5233,5173,5170
testes/in14_082.dat,5957,5900,5916
testes/in14_083.dat,5323,5294,5314
testes/in14_084.dat,5716,5615,5733
testes/in14_085.dat,6237,6211,6283
testes/in14_086.dat,5457,5342,5358
testes/in14_087.dat,5736,5696,5722
testes/in14_088.dat,5298,5274,5310
testes/in14_089.dat,5802,5719,5775
testes/in14_090.dat,5617,5620,5645
testes/in14_091.dat,6218,6200,6217
testes/in14_092.dat,5834,5829,5867
testes/in14_093.dat,6094,6113,6135
testes/in14_094.dat,4911,4837,4855
testes/in14_095.dat,6181,6168,6224
testes/in14_096.dat,5683,5694,5689
testes/in14_097.dat,5298,5155,5201
testes/in14_098.dat,5737,5680,5709
testes/in14_099.dat,6332,6342,6433
testes/in14_100.dat,5744,5689,5722
testes/in14_101.dat,5594,5494,5563
testes/in14_102.dat,5551,5561,5572
testes/in14_103.dat,5421,5414,5469
testes/in14_104.dat,4857,4878,4869
testes/in14_105.dat,5430,5438,5477
testes/in14_106.dat,5725,5742,5766
testes/in14_107.dat,6013,6052,6061
testes/in14_108.dat,6244,6281,6261
testes/in14_109.dat,5378,5381,5417
testes/in14_110.dat,5046,5048,5073
testes/in14_111.dat,5216,5240,5254
testes/in14_112.dat,5457,5380,5375
testes/in14_113.dat,6232,6274,6291
testes/in14_114.dat,5214,5198,5227
testes/in14_115.dat,5633,5607,5642
testes/in14_116.dat,6053,6082,6094
testes/in14_117.dat,5743,5739,5804
testes/in14_118.dat,5311,5285,5333
testes/in14_119.dat,5923,5904,5969
testes/in14_120.dat,6000,6016,6029
testes/in14_121.dat,10693,10693,10693
testes/in14_122.dat,10673,10951,10654
testes/in14_123.dat,11143,11068,11049
testes/in14_124.dat,11375,11387,11276
testes/in14_125.dat,10864,10928,10857
testes/in14_126.dat,10687,10930,10687
testes/in14_127.dat,11943,12178,11798
testes/in14_128.dat,10878,10936,10879
testes/in14_129.dat,10758,11004,10768
testes/in14_130.dat,10667,10675,10667
testes/in14_131.dat,10877,10804,10758
testes/in14_132.dat,11382,11375,11315
testes/in14_133.dat,11324,11307,11269
testes/in14_134.dat,10798,10789,10745
testes/in14_135.dat,10672,10719,10672
testes/in14_136.dat,10814,11010,10799
testes/in14_137.dat,11200,11584,11200
testes/in14_138.dat,11331,11293,11261
testes/in14_139.dat,10861,10802,10802
testes/in14_140.dat,10413,10457,10413
testes/in14_141.dat,8772,8674,8777
testes/in14_142.dat,8838,8648,8827
testes/in14_143.dat,8433,8388,8457
testes/in14_144.dat,8149,8070,8141
testes/in14_145.dat,8337,8205,8364
testes/in14_146.dat,7781,7743,7744
testes/in14_147.dat,8075,7866,8038
testes/in14_148.dat,8642,8556,8697
testes/in14_149.dat,8398,8325,8410
testes/in14_150.dat,8742,8693,8830
testes/in14_151.dat,8344,8305,8403
testes/in14_152.dat,8509,8416,8513
testes/in14_153.dat,7858,7719,7832
testes/in14_154.dat,8311,8206,8371
testes/in14_155.dat,8846,8729,8870
testes/in14_156.dat,8316,8320,8384
testes/in14_157.dat,8745,8717,8801
testes/in14_158.dat,8776,8707,8809
